timestamp,dvol,lee_mykland_jump,lee_mykland_jump_standard,T_statistic,L_statistic
2024-01-10 15:00:00,66.92,0,0,-13.537133940374574,-0.3306594720202181
2024-01-10 16:00:00,66.87,0,0,-14.284799106492168,-0.12736045179168468
2024-01-10 17:00:00,67.65,0,0,-7.48207552273465,1.9771016222208013
2024-01-10 18:00:00,67.18,0,0,-10.40369579150779,-1.1826784431850896
2024-01-10 19:00:00,65.97,0,0,-3.5141944619945624,-3.05601551120214
2024-01-10 20:00:00,63.69,0,0,6.089260847759061,-5.6673088330771115
2024-01-10 21:00:00,62.1,0,0,-0.5517940777596011,-3.8615272869705914
2024-01-10 22:00:00,61.83,0,0,-12.320603798205322,-0.6614484363713912
2024-01-10 23:00:00,62.7,0,0,-6.977496378940517,2.1143026718480957
2024-01-11 00:00:00,62.49,0,0,-12.890187745607738,-0.5065718101857613
2024-01-11 01:00:00,61.03,0,0,-1.6819529343610176,-3.554223698864776
2024-01-11 02:00:00,60.95,0,0,-14.029002292518145,-0.19691463729498587
2024-01-11 03:00:00,61.07,0,0,-13.66663867256784,0.29544560040631884
2024-01-11 04:00:00,60.92,0,0,-13.394704040482987,-0.3693878499244169
2024-01-11 05:00:00,60.85,0,0,-14.117391022827379,-0.17288069391305622
2024-01-11 06:00:00,61.26,0,0,-11.037930089465274,1.0102226204273819
2024-01-11 07:00:00,61.57,0,0,-11.964744912883114,0.7582106850411977
2024-01-11 08:00:00,61.81,0,0,-12.605631083793247,0.5839461391875883
2024-01-11 09:00:00,60.26,0,0,-0.8083795058269203,-3.791758667948423
2024-01-11 10:00:00,59.63,0,0,-9.064257675691875,-1.5468875423144974
2024-01-11 11:00:00,60.12,0,0,-10.341758620879386,1.1995198939776517
2024-01-11 12:00:00,60.58,0,0,-10.657011660787946,1.1137988559489833
2024-01-11 13:00:00,61.27,0,0,-8.693897728590384,1.647592801553206
2024-01-11 14:00:00,61.76,0,0,-10.510791117920453,1.1535579546062154
2024-01-11 15:00:00,61.18,0,0,-9.742920089438673,-1.3623511882977648
2024-01-11 16:00:00,63.17,0,0,2.0310794005764836,4.563841198753665
2024-01-11 17:00:00,62.09,0,0,-5.948590527302003,-2.3940743678222463
2024-01-11 18:00:00,60.94,0,0,-5.349737672099749,-2.5569095569428923
2024-01-11 19:00:00,60.02,0,0,-7.197666243957111,-2.054435876028051
2024-01-11 20:00:00,60.36,0,0,-11.958291823462735,0.7599653565386311
